@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1605517-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BELLEAUS,AN-BELLEAUS,BELLEAU SOUTH BOREHOLE,2010-10-07T11:15:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),539962,378092
http://environment.data.gov.uk/water-quality/data/measurement/AN-1584989-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BROMSWCG,AN-BROMSWCG,LOW FARM SPRING BROMESWELL,2010-02-25T10:15:00,Fluoroxypyr,Fluroxypyr,4064,<,0.044,"",ug/l,GROUNDWATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),630410,251485
http://environment.data.gov.uk/water-quality/data/measurement/AN-1586323-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BURWELLE,AN-BURWELLE,BURWELL EAST BH,2010-03-16T13:00:00,Fluoroxypyr,Fluroxypyr,4064,<,0.04,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),535184,379538
http://environment.data.gov.uk/water-quality/data/measurement/AN-1594646-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BURWELLE,AN-BURWELLE,BURWELL EAST BH,2010-06-02T12:15:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),535184,379538
http://environment.data.gov.uk/water-quality/data/measurement/AN-1605519-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BURWELLE,AN-BURWELLE,BURWELL EAST BH,2010-10-07T11:40:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),535184,379538
http://environment.data.gov.uk/water-quality/data/measurement/AN-1609040-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BURWELLE,AN-BURWELLE,BURWELL EAST BH,2010-11-26T09:20:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),535184,379538
http://environment.data.gov.uk/water-quality/data/measurement/AN-1604382-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-CACKASS1,AN-CACKASS1,CACKASS SPRING NORTH BROOK,2010-09-20T15:50:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),494666,313397
http://environment.data.gov.uk/water-quality/data/measurement/AN-1593230-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-DEENE002,AN-DEENE002,DEENETHORPE SPRING NO.2,2010-05-17T11:45:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),495550,291890
http://environment.data.gov.uk/water-quality/data/measurement/AN-1585903-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-F835662B,AN-F835662B,SOUTH CREAKE GRAVEL OBS. B/H 2,2010-03-10T11:30:00,Fluoroxypyr,Fluroxypyr,4064,<,0.04,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),585640,336240
http://environment.data.gov.uk/water-quality/data/measurement/AN-1605746-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-F835662B,AN-F835662B,SOUTH CREAKE GRAVEL OBS. B/H 2,2010-10-11T14:10:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),585640,336240
http://environment.data.gov.uk/water-quality/data/measurement/AN-1605917-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-F835737A,AN-F835737A,NORTH CREAKE CHALK OBS. B/H 1,2010-10-12T13:50:00,Fluoroxypyr,Fluroxypyr,4064,<,0.005,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),585340,337780
http://environment.data.gov.uk/water-quality/data/measurement/AN-1580963-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-G228848,AN-G228848,SUTTON HOO SPRING AT SUTTON HOO,2010-01-21T09:25:00,Fluoroxypyr,Fluroxypyr,4064,<,0.04,"",ug/l,GROUNDWATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),628547,248844
http://environment.data.gov.uk/water-quality/data/measurement/AN-1581779-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-G229459,AN-G229459,ALBERT BARTLETT B/H 3,2010-01-28T11:15:00,Fluoroxypyr,Fluroxypyr,4064,<,0.04,"",ug/l,GROUNDWATER - PURGED/PUMPED/REFILLED,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),629510,324960
