@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1923347-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-01-17T08:27:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.00317,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1923347-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-01-17T08:27:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.00546,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925140-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-02-18T10:10:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.00162,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925140-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-02-18T10:10:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.00333,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927287-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-03-15T09:01:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.00178,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927287-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-03-15T09:01:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.0036,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1929587-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-04-11T08:05:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.00476,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1929587-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-04-11T08:05:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.00263,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1932518-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-05-17T07:22:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.00378,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1932518-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-05-17T07:22:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.00529,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1934425-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-06-04T07:55:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.0041,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1934425-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-06-04T07:55:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.00543,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937852-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-07-11T07:47:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.0044,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1937852-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-07-11T07:47:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.0063,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1942781-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-08-23T07:48:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.006,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1942781-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-08-23T07:48:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.0061,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
http://environment.data.gov.uk/water-quality/data/measurement/AN-1944550-9274,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-12M03,AN-12M03,R.OUSE NEWNHAM FT.FB.,2019-09-23T08:02:00,pFoctanoate,Perfluorooctanoate anion,9274,"",0.0074,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),506372,249294
