@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8890,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFoctncAcid,Perfluorooctanoic acid,8890,<,0.02,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8891,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFnonncAcid,Perfluorononanoic acid,8891,<,0.005,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8892,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFdecncAcid,Perfluorodecanoic acid,8892,<,0.005,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-9276,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFOS,Perfluorooctylsulphonate anion,9276,"",0.007,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8893,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFundencAcid,Perfluoroundecanoic acid,8893,<,0.01,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8894,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFdodencAcid,Perfluorododecanoic acid,8894,<,0.05,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8895,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFtetdncAcid,Perfluorotetradecanoic acid,8895,<,0.05,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8887,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFpentncAcid,Perfluoropentanoic acid,8887,<,0.01,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8888,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFhexncAcid,Perfluorohexanoic acid,8888,<,0.005,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
http://environment.data.gov.uk/water-quality/data/measurement/AN-1541448-8889,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-06M03,AN-06M03,OUZEL BK.TRIB.OUZEL STANBRIDGEFORD,2009-01-27T10:20:00,PFheptncAcid,Perfluoroheptanoic acid,8889,<,0.005,"",ug/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),496980,223057
