@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1151513-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-03-14T09:10:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1137600-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-05-09T13:45:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1143774-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-06-04T09:50:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1149858-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-08-01T09:20:00,Fluoroxypyr,Fluroxypyr,4064,<,0.06,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1150393-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-08-27T11:20:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1157395-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-10-24T09:45:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1162577-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-22M18A,AN-22M18A,GRAFHAM WATER RESERVOIR,2001-11-22T11:45:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,POND / LAKE / RESERVOIR WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517030,267120
http://environment.data.gov.uk/water-quality/data/measurement/AN-1151549-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-50M03,AN-50M03,R.WISSEY A134 RD.BR.STOKE FERRY,2001-05-08T14:30:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),570800,299500
http://environment.data.gov.uk/water-quality/data/measurement/AN-1161944-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-50M03,AN-50M03,R.WISSEY A134 RD.BR.STOKE FERRY,2001-11-27T12:05:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),570800,299500
http://environment.data.gov.uk/water-quality/data/measurement/AN-1166018-4064,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-50M03,AN-50M03,R.WISSEY A134 RD.BR.STOKE FERRY,2001-12-03T12:30:00,Fluoroxypyr,Fluroxypyr,4064,<,0.05,"",ug/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),570800,299500
