"Name","PFOA anion","PFHxS-B","PFTrDA","PFPeS","PFOSA","PFNS","PFHxS-L","PFHxSA","PFHpS","PFDoS","PFDcS","PFBSA","PFBuS","PFECHS","NMeFOSAA","NEtFOSAA","HPFO-DA","9Cl-PF3ONS","8:2FTS","6:2FTS","4:2FTS","ADONA","5:3 FTCA","11Cl-PF3OUdS","PFBuA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDcA","PFUnA","PFDoDA","PFTeDA","PFEESA","7:3 FTCA","3:3 FTCA","PFOS"
"% quantification",69.15,21.6499544211486,0.0889284126278346,15.4643628509719,0.387430047352561,0.212856534695615,58.2006026689625,4.81260647359455,2.04516403919898,0.0897666068222621,0.128921357971637,34.7863247863248,58.207669108143,10.4904051172708,0.0851063829787234,0.0850701829008932,0.214224507283633,0.0851063829787234,1.27659574468085,26.6410912190963,0.298126064735945,0.0881834215167548,2.18627022299956,0.0856164383561644,69.5079086115993,55.3510273972603,69.2211055276382,41.9840937630808,73.4883720930233,4.72605604349645,1.13065326633166,0.290215588723051,0.208768267223382,0.0863185153215365,0,1.15260488704472,0,99.1258741258741
"mean",0.00437577006507592,0.00173332631578947,0,0.00124377094972067,0.00341111111111111,0.000616,0.00402527366863905,0.00963141592920354,0.002515625,0,0.000966666666666667,0.00131448402948403,0.00461,0.00275760162601626,0,0,0.02368,0,0.498286666666667,0.024673664,0.00116285714285714,1.5e-05,0.003474,0,0.00569937420986094,0.0100592730085073,0.0062434664246824,0.00439351944167498,0.00461948791714614,0.00360353982300885,0.00536296296296296,0.00208571428571429,0.00176,1e-04,0,0.0040596,0,0.0112257495590829
"sd",0.00605749686266818,0.0053150492780305,0,0.00218570438698305,0.00381819474504786,0.000591844574191569,0.0173539761056539,0.0315523490994178,0.00356333629601679,0,0.00167431578064991,0.00197243100026088,0.00927424570158314,0.00596994543610226,0,0,0.048352993702562,0,2.55071664936216,0.239047607377953,0.00151857075661859,2.12132034355964e-05,0.00335734406691859,0,0.0127926233853977,0.0585227805061479,0.0264898171837673,0.0165551249934657,0.011303690759252,0.00685059863395085,0.00620162188142053,0.00153560907723784,0.00169351705040132,0.00014142135623731,0,0.00335255310671335,0,0.00796212811995968
"median",0.0023,0.00084,0,0.00078,0.0019,0.00078,0.002,0.0011,0.00099,0,0,0.00093,0.0031,0.00098,0,0,0.001,0,0.0046,0.0027,0.00066,1.5e-05,0.002,0,0.0034,0.0041,0.003,0.0021,0.0021,0.0014,0.0029,0.0025,0.0024,1e-04,0,0.0036,0,0.0084
"minnonzero",0.00061,5e-04,0,5e-04,0.0014,0.00078,1e-05,5e-04,5e-04,0,0.0029,3e-05,0.00011,5e-04,0,0,0.001,0,0.0011,4e-05,0.00058,3e-05,0.0011,0,2e-05,0.00084,5e-04,0.001,5e-04,0.001,0.002,0.0023,0.0024,2e-04,0,0.00061,0,0.0015
"min",0.00061,5e-04,0,0,0,0,0,0,0,0,0,3e-05,0.00011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0.00061,0,0.0015
"max",0.082,0.081,0,0.026,0.011,0.0013,0.48,0.2,0.014,0,0.0029,0.03,0.25,0.072,0,0,0.11,0,14,5.4,0.0044,3e-05,0.014,0,0.24,1.2,0.61,0.26,0.18,0.036,0.03,0.0041,0.0038,2e-04,0,0.012,0,0.071
