"Name","PFOA anion","PFHxS-B","PFTrDA","PFPeS","PFOSA","PFNS","PFHxS-L","PFHxSA","PFHpS","PFDoS","PFDcS","PFBSA","PFBuS","PFECHS","NMeFOSAA","NEtFOSAA","HPFO-DA","9Cl-PF3ONS","8:2FTS","6:2FTS","4:2FTS","ADONA","5:3 FTCA","11Cl-PF3OUdS","PFBuA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDcA","PFUnA","PFDoDA","PFTeDA","PFEESA","7:3 FTCA","3:3 FTCA","PFOS"
"% quantification",98.8095238095238,11.0826939471441,0,7.21539283805452,0.319488817891374,0,20.8,1.0314875135722,2.17969165337586,0,0,6.85805422647528,19.872136387853,2.12539851222104,0,0,0.10752688172043,0,0.478214665249734,24.6670218433671,0.372142477405635,0.219178082191781,0.48205677557579,0,20.0320512820513,14.3080124869927,19.8661863098302,11.2082262210797,22.5490196078431,1.59383033419023,0.360082304526749,0,0.0516795865633075,0.492610837438424,0,0.0873362445414847,0,98.8095238095238
"mean",0.00959759036144578,0.00217992307692308,0,0.00221325925925926,0.00155,0,0.00532810256410256,0.00674684210526316,0.00263756097560976,0,0,0.00170744186046512,0.00391723860589812,0.0032335,0,0,0.00355,0,0.00988888888888889,0.0292820734341253,0.00687285714285714,0.00089,0.00671111111111111,0,0.00900165333333333,0.0120901090909091,0.00905357512953368,0.00622110091743119,0.00761045766590389,0.00445806451612903,0.00244285714285714,0,0.0021,0.00678333333333333,0,0.0017,0,0.0153192771084337
"sd",0.00764637608894334,0.00389879498301954,0,0.00399859487066966,0.000628490254498827,0,0.0127842104971612,0.0105257293506233,0.00370294192533977,0,0,0.0028654905991028,0.00453111271190289,0.00579972658506748,0,0,0.00289913780286484,0,0.0119709486303764,0.175031518133964,0.0054189012240666,8.20568908339412e-05,0.00608305935456092,0,0.0534008269121953,0.0271841741675287,0.0236292875538416,0.0122874337171691,0.0296756415614497,0.00468392813733291,0.001425782992905,0,NA,0.00178596379209285,0,NA,0,0.00943301749088011
"median",0.007,0.0011,0,0.0011,0.00125,0,0.0018,0.0032,0.00099,0,0,0.00092,0.0023,0.0014,0,0,0.00355,0,0.005,0.005,0.0081,0.000905,0.0062,0,0.003,0.0041,0.0025,0.00265,0.0017,0.0027,0.002,0,0.0021,0.00655,0,0.0017,0,0.012
"minnonzero",0.0015,5e-04,0,5e-04,0.001,0,5e-04,0.00052,0.00053,0,0,5e-04,0.00054,0.00053,0,0,0.0015,0,0.0011,0.001,0.00051,0.00078,0.0011,0,0.00051,0.00053,0.00051,0.001,5e-04,0.0011,0.0011,0,0.0021,0.0051,0,0.0017,0,0.0032
"min",0.0015,5e-04,0,5e-04,0.001,0,5e-04,0.00052,0.00053,0,0,5e-04,0.00054,0.00053,0,0,0.0015,0,0.0011,0.001,0.00051,0.00078,0.0011,0,0.00051,0.00053,0.00051,0.001,5e-04,0.0011,0.0011,0,0.0021,0.0051,0,0.0017,0,0.0032
"max",0.033,0.032,0,0.038,0.0024,0,0.15,0.039,0.02,0,0,0.024,0.038,0.03,0,0,0.0056,0,0.035,2.9,0.013,0.00097,0.017,0,0.96,0.24,0.21,0.15,0.48,0.02,0.0052,0,0.0021,0.0098,0,0.0017,0,0.058
