sample.samplingPoint,longitude,latitude,area,subarea
NW-88003886,-2.961283,53.861862,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-9
NW-88006754,-2.992139,53.348208,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-M
NW-26471,-2.919852,53.191057,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-P
NW-88020032,-3.064758,54.831137,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-26404,-2.888477,53.152524,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-P
NW-88023689,-2.922488,54.378139,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88004556,-2.953757,54.274494,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88010481,-2.961455,54.30038,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88004538,-2.92253,54.380691,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88010392,-2.390489,54.406062,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88021967,-3.146815,54.523566,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88009505,-3.158726,54.812662,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-6084,-2.899246,53.1884,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-P
NW-88006598,-2.751949,54.836444,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88010653,-2.086535,53.450368,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-L
NW-88024204,-2.871172,54.630566,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
